model,augmentation,phase,epoch,loss,accuracy,date
OCDC__Size-640x640_Epoch-56_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,56,0.2817628991712506,0.8721549072265629,2021-08-02 03:39:02.709995
OCDC__Size-640x640_Epoch-57_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,57,0.235666989638204,0.9057840895879847,2021-08-02 03:56:00.172643
OCDC__Size-640x640_Epoch-57_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,57,0.2688751973470466,0.8778928087022564,2021-08-02 03:56:00.172678
OCDC__Size-640x640_Epoch-58_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,58,0.22503587074184214,0.9085645839146219,2021-08-02 04:12:58.558913
OCDC__Size-640x640_Epoch-58_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,58,0.2654158870650766,0.8770516357421871,2021-08-02 04:12:58.558953
OCDC__Size-640x640_Epoch-59_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,59,0.2255272221820806,0.9078726981026805,2021-08-02 04:29:56.554651
OCDC__Size-640x640_Epoch-59_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,59,0.25362039632422645,0.8818193088107642,2021-08-02 04:29:56.554713
OCDC__Size-640x640_Epoch-60_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,60,0.22671959686503257,0.9074819510323668,2021-08-02 04:46:55.243212
OCDC__Size-640x640_Epoch-60_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,60,0.2629289177233457,0.8804442816840276,2021-08-02 04:46:55.243266
OCDC__Size-640x640_Epoch-61_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,61,0.22228021451543706,0.9097356683640268,2021-08-02 05:03:53.682579
OCDC__Size-640x640_Epoch-61_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,61,0.2628182201762684,0.8822960883246524,2021-08-02 05:03:53.682620
OCDC__Size-640x640_Epoch-62_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,62,0.22115072093660101,0.9118835652669288,2021-08-02 05:20:50.835610
OCDC__Size-640x640_Epoch-62_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,62,0.2604961643124827,0.8883452148437501,2021-08-02 05:20:50.835664
OCDC__Size-640x640_Epoch-63_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,63,0.2027213406259155,0.9205005609421509,2021-08-02 05:37:48.038306
OCDC__Size-640x640_Epoch-63_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,63,0.2360517391327044,0.898675509982639,2021-08-02 05:37:48.038335
OCDC__Size-640x640_Epoch-64_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,64,0.20461073250168868,0.9193744564964662,2021-08-02 05:54:45.584713
OCDC__Size-640x640_Epoch-64_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,64,0.23083851254195906,0.9034402804904517,2021-08-02 05:54:45.584786
OCDC__Size-640x640_Epoch-65_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,65,0.20137135692133423,0.9207852928524927,2021-08-02 06:11:43.134582
OCDC__Size-640x640_Epoch-65_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,65,0.2834299560299971,0.8743615451388886,2021-08-02 06:11:43.134640
OCDC__Size-640x640_Epoch-66_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,66,0.20976740821483655,0.9140746983119427,2021-08-02 06:28:40.780061
OCDC__Size-640x640_Epoch-66_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,66,0.23060233725183127,0.9011953396267364,2021-08-02 06:28:40.780090
OCDC__Size-640x640_Epoch-67_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,67,0.2489163769402824,0.8999323788597468,2021-08-02 06:45:42.066844
OCDC__Size-640x640_Epoch-67_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,67,0.2882332342224092,0.8734223497178819,2021-08-02 06:45:42.066888
OCDC__Size-640x640_Epoch-68_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,68,0.23902643179504335,0.9032076183500757,2021-08-02 07:02:40.976019
OCDC__Size-640x640_Epoch-68_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,68,0.3190033707108038,0.869454399956597,2021-08-02 07:02:40.976065
OCDC__Size-640x640_Epoch-69_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,69,0.23204760774651298,0.9071084245954233,2021-08-02 07:19:39.972936
OCDC__Size-640x640_Epoch-69_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,69,0.250991299479372,0.8849594184027779,2021-08-02 07:19:39.972973
OCDC__Size-640x640_Epoch-70_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,70,0.20179893134530477,0.9200644560314359,2021-08-02 07:36:38.516072
OCDC__Size-640x640_Epoch-70_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,70,0.24170192634531606,0.8912639295789933,2021-08-02 07:36:38.516140
OCDC__Size-640x640_Epoch-71_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,71,0.19015247771867075,0.9252911929175969,2021-08-02 07:53:37.150394
OCDC__Size-640x640_Epoch-71_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,71,0.2408645715409269,0.8955361870659723,2021-08-02 07:53:37.150464
OCDC__Size-640x640_Epoch-72_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,72,0.17941509448698656,0.9300974237351205,2021-08-02 08:10:35.610158
OCDC__Size-640x640_Epoch-72_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,72,0.23235161765284526,0.9119381917317706,2021-08-02 08:10:35.610200
OCDC__Size-640x640_Epoch-73_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,73,0.17568999403572108,0.9305854666573672,2021-08-02 08:27:34.047214
OCDC__Size-640x640_Epoch-73_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,73,0.24163183523730064,0.8973242458767358,2021-08-02 08:27:34.047258
OCDC__Size-640x640_Epoch-74_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,74,0.17056280124580508,0.9336271536690853,2021-08-02 08:44:32.677296
OCDC__Size-640x640_Epoch-74_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,74,0.24035223547252826,0.8985564371744783,2021-08-02 08:44:32.677337
OCDC__Size-640x640_Epoch-75_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,75,0.17366442962347287,0.9334333525158106,2021-08-02 09:01:31.684425
OCDC__Size-640x640_Epoch-75_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,75,0.22690632766785307,0.9081995713975691,2021-08-02 09:01:31.684462
OCDC__Size-640x640_Epoch-76_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,76,0.19299902289054616,0.9274344424293154,2021-08-02 09:18:29.994970
OCDC__Size-640x640_Epoch-76_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,76,0.25319721842469234,0.8894899902343749,2021-08-02 09:18:29.995007
OCDC__Size-640x640_Epoch-77_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,77,0.17496950796346591,0.9318705589657744,2021-08-02 09:35:28.616561
OCDC__Size-640x640_Epoch-77_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,77,0.23112355074133828,0.9035357801649305,2021-08-02 09:35:28.616587
OCDC__Size-640x640_Epoch-78_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,78,0.15817431265209703,0.9401107555571064,2021-08-02 09:52:28.074905
OCDC__Size-640x640_Epoch-78_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,78,0.2407669246261422,0.8997911105685762,2021-08-02 09:52:28.074962
OCDC__Size-640x640_Epoch-79_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,79,0.17613636809830843,0.9323305867513026,2021-08-02 10:09:26.939663
OCDC__Size-640x640_Epoch-79_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,79,0.2752088743688849,0.8819287109374997,2021-08-02 10:09:26.939701
OCDC__Size-640x640_Epoch-80_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,80,0.16375654780145157,0.9354675990513392,2021-08-02 10:26:25.740278
OCDC__Size-640x640_Epoch-80_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,80,0.22530880530248396,0.9092358262803819,2021-08-02 10:26:25.740308
OCDC__Size-640x640_Epoch-81_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,81,0.1599063809496112,0.9381193934849327,2021-08-02 10:43:25.073069
OCDC__Size-640x640_Epoch-81_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,81,0.20986606817492026,0.9109569498697916,2021-08-02 10:43:25.073096
OCDC__Size-640x640_Epoch-82_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,82,0.1493877532583567,0.9427051972888757,2021-08-02 11:00:25.367741
