model,augmentation,phase,epoch,loss,accuracy,date
ORCA__Size-640x640_Epoch-72_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,72,0.4011134969119512,0.8364526717209896,2021-05-06 04:39:07.365999
ORCA__Size-640x640_Epoch-73_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,73,0.21504767414823822,0.912523099178332,2021-05-06 05:48:45.708745
ORCA__Size-640x640_Epoch-73_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,73,0.3855494550399242,0.846756006967779,2021-05-06 05:48:45.708800
ORCA__Size-640x640_Epoch-74_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,74,0.21241880784990125,0.9122661243785524,2021-05-06 06:58:28.239076
ORCA__Size-640x640_Epoch-74_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,74,0.39108203106983747,0.8470326413390459,2021-05-06 06:58:28.239123
ORCA__Size-640x640_Epoch-75_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,75,0.21601960104283024,0.9114900587164056,2021-05-06 08:08:09.926104
ORCA__Size-640x640_Epoch-75_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,75,0.4225015532989789,0.8388551029765917,2021-05-06 08:08:09.926166
ORCA__Size-640x640_Epoch-76_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,76,0.2134412139188777,0.9126743845962443,2021-05-06 09:18:04.308296
ORCA__Size-640x640_Epoch-76_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,76,0.40550517886509874,0.8429394589587064,2021-05-06 09:18:04.308354
ORCA__Size-640x640_Epoch-77_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,77,0.2165376081213697,0.9098384174547695,2021-05-06 10:28:31.615596
ORCA__Size-640x640_Epoch-77_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,77,0.35944186095226216,0.8552253415051903,2021-05-06 10:28:31.615653
ORCA__Size-640x640_Epoch-78_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,78,0.22238738366752767,0.908678776499189,2021-05-06 11:44:38.203281
ORCA__Size-640x640_Epoch-78_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,78,0.3417287876016128,0.8619629402115073,2021-05-06 11:44:38.203337
